ID,Title,Owner,StartPI,EndPI,ParentId,Status,Level
goal-3-scope-5-feature-1,"Data catalog","Datagenics",25.2,25.2,goal-3-scope-5,completed,2
goal-3-scope-5-feature-2,"Access control policies","Pioneers",25.2,25.3,goal-3-scope-5,in-progress,2
goal-3-scope-5-feature-3,"Data lineage tracking","Sparky",25.2,25.3,goal-3-scope-5,in-progress,2
goal-3-scope-5-feature-4,"Compliance reporting","Sinko de Mayo",25.3,25.3,goal-3-scope-5,planned,2
goal-3-scope-5-feature-5,"Audit trails","Streamtroopers",25.3,25.3,goal-3-scope-5,planned,2
goal-4,"E-commerce Platform Expansion","",,,,,0
goal-4-scope-1,"Marketplace Integration","Staunchwarriors",25.1,25.2,goal-4,completed,1
goal-4-scope-1-feature-1,"Seller onboarding","Code Genies",25.1,25.1,goal-4-scope-1,completed,2
goal-4-scope-1-feature-2,"Product listing management","Datagenics",25.1,25.1,goal-4-scope-1,completed,2
goal-4-scope-1-feature-3,"Commission system","Pioneers",25.1,25.2,goal-4-scope-1,completed,2
goal-4-scope-1-feature-4,"Seller dashboard","Sparky",25.2,25.2,goal-4-scope-1,completed,2
goal-4-scope-1-feature-5,"Review and rating system","Sinko de Mayo",25.2,25.2,goal-4-scope-1,completed,2
goal-4-scope-2,"International Shipping","Streamtroopers",25.2,25.3,goal-4,in-progress,1
goal-4-scope-2-feature-1,"Multi-currency support","Staunchwarriors",25.2,25.2,goal-4-scope-2,completed,2
goal-4-scope-2-feature-2,"Customs documentation","Code Genies",25.2,25.2,goal-4-scope-2,completed,2
goal-4-scope-2-feature-3,"Carrier integrations","Datagenics",25.2,25.3,goal-4-scope-2,in-progress,2
goal-4-scope-2-feature-4,"Tax calculation","Pioneers",25.3,25.3,goal-4-scope-2,planned,2
goal-4-scope-2-feature-5,"Shipping rate calculator","Sparky",25.3,25.3,goal-4-scope-2,planned,2
goal-4-scope-3,"Subscription Service","Sinko de Mayo",25.3,25.4,goal-4,planned,1
goal-4-scope-3-feature-1,"Subscription plans","Streamtroopers",25.3,25.3,goal-4-scope-3,planned,2
goal-4-scope-3-feature-2,"Recurring billing","Staunchwarriors",25.3,25.3,goal-4-scope-3,planned,2
goal-4-scope-3-feature-3,"Subscription management","Code Genies",25.3,25.4,goal-4-scope-3,planned,2
goal-4-scope-3-feature-4,"Cancellation flow","Datagenics",25.4,25.4,goal-4-scope-3,planned,2
goal-4-scope-3-feature-5,"Subscription analytics","Pioneers",25.4,25.4,goal-4-scope-3,planned,2
goal-4-scope-4,"Inventory Management","Sparky",25.1,25.2,goal-4,completed,1
goal-4-scope-4-feature-1,"Stock tracking system","Sinko de Mayo",25.1,25.1,goal-4-scope-4,completed,2
goal-4-scope-4-feature-2,"Warehouse management","Streamtroopers",25.1,25.1,goal-4-scope-4,completed,2
goal-4-scope-4-feature-3,"Auto-reorder system","Staunchwarriors",25.1,25.2,goal-4-scope-4,completed,2
goal-4-scope-4-feature-4,"Low stock alerts","Code Genies",25.2,25.2,goal-4-scope-4,completed,2
goal-4-scope-4-feature-5,"Inventory reports","Datagenics",25.2,25.2,goal-4-scope-4,completed,2
goal-4-scope-5,"AR Shopping Experience","Pioneers",25.4,25.6,goal-4,planned,1
goal-4-scope-5-feature-1,"3D product models","Sparky",25.4,25.4,goal-4-scope-5,planned,2
goal-4-scope-5-feature-2,"AR viewer app","Sinko de Mayo",25.4,25.5,goal-4-scope-5,planned,2
goal-4-scope-5-feature-3,"Virtual try-on","Streamtroopers",25.5,25.5,goal-4-scope-5,planned,2
goal-4-scope-5-feature-4,"Room visualization","Staunchwarriors",25.5,25.6,goal-4-scope-5,planned,2
goal-4-scope-5-feature-5,"Social sharing integration","Code Genies",25.6,25.6,goal-4-scope-5,planned,2
